store_nbr,sales_2013,sales_2014,sales_2015,pct_14_13,pct_15_14,cat_14_13,cat_15_14,cat_tot,zip_cd,city_name,lat,long,promo_dep13,promo_dep14,promo_dep15
7097,49784615.02,47817618.22,50309408.4,-0.039510134,0.052110295,0.00%,100.00%,7,43026,HILLIARD,40.033554,-83.179135,0.128,0.133,0.13
7098,37182121.81,252224210,297422621,5.783480815,0.179199336,100.00%,100.00%,8,96778,PAHOA,19.50467372,-154.9555601,0.299,0.26,0.233
7099,46901666.08,47753793.34,45078892.12,0.018168379,-0.056014424,100.00%,-100.00%,2,37067,FRANKLIN,35.959089,-86.802662,0.137,0.132,0.129
7102,95812803.82,98463426.02,80434623.04,0.027664593,-0.18310152,100.00%,-100.00%,2,20003,WASHINGTON,38.877166,-77.003861,0.12,0.133,0.12
7105,73434837.2,68020124.75,61649205.73,-0.073734928,-0.093662266,-100.00%,-100.00%,0,7662,ROCHELLE PARK,40.900165,-74.077775,0.141,0.149,0.149
7106,52555098.55,53968403.53,59371580.44,0.026891872,0.100117412,100.00%,100.00%,8,77093,HOUSTON,29.84928,-95.33469,0.175,0.171,0.169
7108,57568426.39,53501487.29,48683776.19,-0.070645306,-0.090048171,-100.00%,-100.00%,0,77380,SPRING,30.128033,-95.454999,0.123,0.13,0.135
7110,38164000.49,35035229.93,33251720.56,-0.081982248,-0.05090617,-100.00%,-100.00%,0,55304,ANDOVER,45.220236,-93.358183,0.176,0.176,0.18
7112,35104798.05,34126279.17,34718137.84,-0.02787422,0.017343194,0.00%,100.00%,7,35115,MONTEVALLO,33.100273,-86.862371,0.142,0.158,0.163
7113,64215780.97,65833852.85,64920921.44,0.025197418,-0.013867203,100.00%,0.00%,5,32550,MIRAMAR BEACH,30.384243,-86.380911,0.129,0.127,0.126
7115,29952689.07,28253892.3,25140460.15,-0.056716002,-0.110194805,-100.00%,-100.00%,0,85381,PEORIA,33.596365,-112.221144,0.168,0.174,0.174
7116,41262754.6,41012014.35,36440776.52,-0.006076673,-0.111460944,0.00%,-100.00%,1,85023,PHOENIX,33.610386,-112.099135,0.16,0.158,0.148
7117,21789015.55,21133039.01,19391867.7,-0.030105837,-0.082390957,0.00%,-100.00%,1,55411,MINNEAPOLIS,45.006516,-93.311661,0.155,0.148,0.153
7118,38533295.22,37780153.9,35943958.05,-0.019545209,-0.048602127,0.00%,0.00%,4,75081,RICHARDSON,32.93959808,-96.74062533,0.128,0.133,0.134
7120,59219610.88,58667894.84,53604529.56,-0.009316441,-0.086305556,0.00%,-100.00%,1,77584,PEARLAND,29.57858,-95.398822,0.116,0.125,0.13
7123,42472445.59,37143717.13,34820651.19,-0.125463189,-0.062542635,-100.00%,-100.00%,0,60651,CHICAGO,41.909453,-87.735973,0.153,0.154,0.151
7124,43557761.93,40766428.15,42179894.17,-0.064083499,0.034672305,-100.00%,100.00%,6,25526,HURRICANE,38.44684083,-81.95188028,0.166,0.168,0.156
7125,34053065.96,28365330.7,27368312.34,-0.167025644,-0.035149189,-100.00%,0.00%,3,60609,CHICAGO,41.795866,-87.68446,0.15,0.145,0.14
7126,75109722.03,78312944.06,72533641.5,0.042647236,-0.073797539,100.00%,-100.00%,2,77098,HOUSTON,29.742553,-95.421936,0.095,0.093,0.096
7127,68263027.22,69739099.07,67699400.41,0.021623299,-0.029247563,100.00%,0.00%,5,92069,SAN MARCOS,33.1491,-117.18929,0.148,0.145,0.15
7128,75493062.08,72936895.36,71446818.13,-0.033859624,-0.020429677,0.00%,0.00%,4,95973,CHICO,39.760969,-121.864873,0.157,0.157,0.15
7129,71254128.53,61333839.63,58139028.22,-0.139224058,-0.052088886,-100.00%,-100.00%,0,32257,JACKSONVILLE,30.205069,-81.616539,0.157,0.164,0.164
7131,121236976,106918663.2,108453574.4,-0.118101863,0.014355877,-100.00%,100.00%,6,33186,MIAMI,25.685364,-80.39959,0.124,0.133,0.139
